nr;Nazwisko;Imie;address;afil;dist;wynik;time;kmh
;Abraham;Wiesław;;;125;05:03:24.601;18204.601;24.72
;Adamus;Marcin;;;65;03:53:34.774;14014.774;16.70
;Adkonis;Konrad;;;125;06:15:40.947;22540.947;19.96
;Alateyah;Ali;;;65;04:31:17.566;16277.566;14.38
;Alechniewicz;Wojciech;;;125;06:33:42.450;23622.45;19.05
;Alechniewicz;Grzegorz;;;225;07:49:28.059;28168.059;28.76
;Aleksander;Bladowski;;;125;06:14:50.437;22490.437;20.01
;Aleksiak;Dobrawa;;;125;08:47:57.568;31677.568;14.21
;Aleksiuk;Anna;;;65;04:47:46.845;17266.845;13.55
;Aleksiuk;Sławomir;;;65;04:47:47.280;17267.28;13.55
;Ambroziak;Krzysztof;;;125;05:41:13.153;20473.153;21.98
;Amr;Adam;;;65;03:59:41.261;14381.261;16.27
;Andryskowski;Jarosław;;;125;05:26:15.903;19575.903;22.99
;Andrzejewska;Grażyna;;;65;04:09:14.530;14954.53;15.65
;Andrzejewski;Roman;;;65;03:16:48.236;11808.236;19.82
;Andrzejewski;Paweł;;;65;04:09:14.035;14954.035;15.65
;Andrzejewski;Andrzej;;;125;04:54:49.118;17689.118;25.44
;Angel;Mieczysław;;;125;05:51:47.670;21107.67;21.32
;Angielczyk;Adam;;;65;03:18:51.994;11931.994;19.61
;Ankiersztejn;Mateusz;;;65;02:43:47.438;9827.438;23.81
;Antoszewska;Karolina;;;125;05:28:45.126;19725.126;22.81
;Anuszewska;Anna;;;65;04:58:42.848;17922.848;13.06
;Arciemiuk;Mariusz;;;125;05:42:54.148;20574.148;21.87
;Atraszkiewicz;Magda;;;125;05:28:19.640;19699.64;22.84
;Augustyniak;Przemysław;;;125;06:43:21.950;24201.95;18.59
;Augustyniak;Agnieszka;;;65;03:46:22.763;13582.763;17.23
;Bachar;Piotr;;;125;07:16:07.090;26167.09;17.20
;Baczewska;Bożena;;;65;04:06:09.288;14769.288;15.84
;Baczewski;Jacek;;;125;05:42:43.775;20563.775;21.88
;Badura;Ewelina;;;125;07:34:53.267;27293.267;16.49
;Badura;Rafał;;;125;07:35:05.847;27305.847;16.48
;Bajc;Andrzej;;;125;08:34:37.830;30877.83;14.57
;Bajera;Michał;;;65;02:53:14.702;10394.702;22.51
;Bajera;Karolina;;;65;02:46:39.950;9999.95;23.40
;Balas;Krzysztof;;;65;04:07:41.799;14861.799;15.75
;Bałdyga;Michał;;;125;07:40:45.514;27645.514;16.28
;Bambrowicz Kołakowska;Aleksandra;;;65;03:53:31.020;14011.02;16.70
;Banach;Piotr;;;125;03:44:34.520;13474.52;33.40
;Banach;Robert;;;125;04:39:19.050;16759.05;26.85
;Banachewicz;Dariusz;;;125;04:27:58.320;16078.32;27.99
;Banasiak;Piotr;;;125;05:08:22.864;18502.864;24.32
;Baran;Piotr;;;125;07:10:22.956;25822.956;17.43
;Barczewski;Adam;;;125;08:18:46.046;29926.046;15.04
;Barnert;Tomasz;;;65;03:15:00.000;11700;20.00
;Barszcz;Tomasz;;;125;06:43:17.222;24197.222;18.60
;Bart;Andrzej;;;225;07:40:27.306;27627.306;29.32
;Bartyzel;Konrad;;;125;04:55:27.344;17727.344;25.38
;Bastrzyk;Andrzej;;;125;05:46:00.555;20760.555;21.68
;Batkiewicz;Sebastian;;;125;04:06:10.543;14770.543;30.47
;Bator;Alicja;;;65;03:23:36.732;12216.732;19.15
;Bączkiewicz;Zbigniew;;;125;04:43:02.575;16982.575;26.50
;Bednarczyk;Marcin;;;125;06:45:27.489;24327.489;18.50
;Bednarek;Robert;;;125;05:50:59.674;21059.674;21.37
;Beger;Maciej;;;65;06:27:29.923;23249.923;10.06
;Beger;Dagmara;;;65;06:26:43.426;23203.426;10.08
;Beger;Michał;;;65;06:26:42.932;23202.932;10.08
;Bejrowski;Piotr;;;65;02:05:06.888;7506.888;31.17
;Belczewski;Dominik;;;125;04:55:48.612;17748.612;25.35
;Bendik;Adam;;;225;09:01:55.138;32515.138;24.91
;Bendykowski;Robert;;;125;07:10:41.990;25841.99;17.41
;Bernacki;Jacek;;;65;02:41:36.693;9696.693;24.13
;Bestjan;Bartosz;;;125;04:47:29.058;17249.058;26.09
;Białek;Marta;;;125;05:10:08.859;18608.859;24.18
;Białk;Arkadiusz;;;225;07:00:19.760;25219.76;32.12
;Białobrzewski;Jacek;;;65;04:59:15.300;17955.3;13.03
;Biały;Paweł;;;125;06:32:22.340;23542.34;19.11
;Biedrawa;Andrzej;;;65;04:03:06.283;14586.283;16.04
;Biedroń;Marcin;;;125;05:45:25.398;20725.398;21.71
;Biedroń;Mieczysław;;;65;03:10:48.979;11448.979;20.44
;Biedroń;Monika;;;125;05:45:23.902;20723.902;21.71
;Biegajski;Arkadiusz;;;125;06:01:01.178;21661.178;20.77
;Biegalska;Alicja;;;125;08:16:14.541;29774.541;15.11
;Bielawa;Justyna;;;125;07:18:24.011;26304.011;17.11
;Bielecki;Wojciech;;;125;08:57:05.510;32225.51;13.96
;Bieliński;Piotr;;;125;04:35:54.577;16554.577;27.18
;Bielowicz;Marek;;;65;02:01:26.398;7286.398;32.11
;Bieńkowski;Andrzej;;;125;07:55:30.786;28530.786;15.77
;Biesek;Przemysław;;;65;02:42:30.681;9750.681;24.00
;Bigaj;Andrzej;;;65;04:08:16.778;14896.778;15.71
;Bitel;Marcin;;;225;07:04:34.510;25474.51;31.80
;Bizewski;Tadeusz;;;225;05:42:55.183;20575.183;39.37
;Blach;Przemysław;;;225;06:24:54.472;23094.472;35.07
;Bladowska;Jolanta;;;65;03:24:54.235;12294.235;19.03
;Bladowski;Tadeusz;;;65;03:24:54.485;12294.485;19.03
;Bladowski;Benedykt;;;125;06:37:02.968;23822.968;18.89
;Bladowski;Tomasz;;;225;09:45:32.166;35132.166;23.06
;Bladowski;Zofia;;;65;04:08:18.541;14898.541;15.71
;Błondek;Grzegorz;;;65;03:49:15.031;13755.031;17.01
;Błoński;Łukasz;;;125;07:05:58.228;25558.228;17.61
;Bobowski;Klaudiusz;;;65;01:55:05.851;6905.851;33.88
;Bobrowska;Natalia;;;65;04:27:08.311;16028.311;14.60
;Bobrowski;Tomasz;;;225;06:43:59.486;24239.486;33.42
;Bobrowski;Wojciech;;;125;05:40:00.301;20400.301;22.06
;Bochomulski;Mieczysław;;;125;06:40:22.452;24022.452;18.73
;Bocianowska;Justyna;;;125;08:02:43.050;28963.05;15.54
;Bocianowski;Bartosz;;;65;03:50:19.257;13819.257;16.93
;Boćkowski;Maciej;;;65;02:02:19.668;7339.668;31.88
;Bodzenta;Izabela;;;125;07:35:00.261;27300.261;16.48
;Bogacka;Dorota;;;225;09:03:42.376;32622.376;24.83
;Bogalecki;Marek;;;225;09:45:11.674;35111.674;23.07
;Bogdański;Łukasz;;;125;07:10:11.322;25811.322;17.43
;Bohdan;Łukasz;;;125;07:02:18.414;25338.414;17.76
;Bojarski;Andrzej;;;65;02:28:00.686;8880.686;26.35
;Bojka;Piotr;;;125;04:40:25.837;16825.837;26.74
;Bojko;Michał;;;65;03:01:21.479;10881.479;21.50
;Bołkowska;Magdalena;;;65;05:57:44.189;21464.189;10.90
;Boniecki;Błażej;;;125;05:20:31.969;19231.969;23.40
;Borkowska;Marcelina;;;65;05:59:54.621;21594.621;10.84
;Borkowska;Iwona;;;65;05:59:55.870;21595.87;10.84
;Borkowski;Grzegorz;;;65;05:59:57.123;21597.123;10.83
;Borowski;Jakub;;;125;06:52:36.974;24756.974;18.18
;Borowski;Tomasz;;;125;06:42:55.704;24175.704;18.61
;Borowski;Eugeniusz;;;225;07:15:15.280;26115.28;31.02
;Borsukowicz;Marcin;;;65;01:48:31.623;6511.623;35.94
;Bortnowska;Małgorzata;;;65;04:28:08.793;16088.793;14.54
;Boruta-Domachowska;Joanna;;;65;04:54:25.076;17665.076;13.25
;Borzęcki;Ryszard;;;225;08:31:06.785;30666.785;26.41
;Bożęcki;Marcin;;;125;03:38:58.231;13138.231;34.25
;Bracha;Kuba;;;125;04:42:27.575;16947.575;26.55
;Brandt;Maciej;;;125;04:26:23.324;15983.324;28.15
;Brdak Ziemlinska;Marta;;;65;04:16:49.550;15409.55;15.19
;Breska;Witold;;;125;04:59:16.126;17956.126;25.06
;Brożek;Dariusz;;;65;04:04:47.788;14687.788;15.93
;Brudnowski;Przemysław;;;125;05:07:21.882;18441.882;24.40
;Bryła;Magdalena;;;125;07:24:55.510;26695.51;16.86
;Brzózka;Andrzej;;;225;07:14:52.284;26092.284;31.04
;Brzuzy;Tomasz;;;125;05:05:29.605;18329.605;24.55
;Bukowski;Robert;;;125;07:20:11.990;26411.99;17.04
;Bulczak;Jakub;;;65;02:51:05.193;10265.193;22.80
;Burzyński;Stanisław;;;125;06:47:59.214;24479.214;18.38
;Busiek;Karolina;;;65;03:55:32.776;14132.776;16.56
;Busz;Krzysztof;;;125;07:08:00.473;25680.473;17.52
;Bylińska;Katarzyna;;;125;06:38:17.948;23897.948;18.83
;Byzdra;Krzysztof;;;65;02:58:32.215;10712.215;21.84
;Całka;Hanna;;;125;08:27:50.333;30470.333;14.77
;Caspari;Sebastian;;;125;04:02:22.039;14542.039;30.94
;Ceszlak;Aneta;;;65;05:29:34.363;19774.363;11.83
;Ceszlak;Sławomir;;;65;05:29:30.417;19770.417;11.84
;Chamera;Sławomir;;;125;03:39:31.526;13171.526;34.16
;Chamera;Michał;;;65;03:44:10.271;13450.271;17.40
;Chazbijewicz;Zuzanna;;;65;06:11:54.199;22314.199;10.49
;Chełkowski;Bolesław;;;125;04:19:59.326;15599.326;28.85
;Cherek;Jolanta;;;125;07:43:52.779;27832.779;16.17
;Chmielecki;Krzysztof;;;65;04:20:21.241;15621.241;14.98
;Chmielecki;Piotr;;;125;04:18:00.301;15480.301;29.07
;Chojnowski;Tomasz;;;125;04:21:06.814;15666.814;28.72
;Cholewiński;Jacek;;;125;06:55:36.305;24936.305;18.05
;Chołdrych;Michał;;;125;06:20:55.400;22855.4;19.69
;Chorębała;Łukasz;;;65;02:47:36.201;10056.201;23.27
;Chruściel;Krzysztof;;;125;07:03:42.884;25422.884;17.70
;Chuchrowski;Adam;;;65;04:03:34.784;14614.784;16.01
;Chylińska;Anna;;;65;03:45:16.517;13516.517;17.31
;Chyliński;Andrzej;;;125;05:59:21.108;21561.108;20.87
;Cichacki;Jakub;;;125;05:00:54.362;18054.362;24.92
;Cichocki;Tomasz;;;125;04:06:43.425;14803.425;30.40
;Cichocki;Jan;;;125;04:06:43.066;14803.066;30.40
;Cichocki;Maciej;;;65;02:24:58.535;8698.535;26.90
;Cichosz;Mariusz;;;65;03:05:48.209;11148.209;20.99
;Cichosz;Piotr;;;65;03:05:34.980;11134.98;21.01
;Ciecierski;Wojciech;;;65;03:15:49.986;11749.986;19.91
;Ciecierski;Antoni;;;65;03:15:49.980;11749.98;19.91
;Cieśluk;Sylwester;;;125;06:42:42.002;24162.002;18.62
;Cieżyński;Piotr;;;65;04:55:24.837;17724.837;13.20
;Cilka;Janusz;;;125;03:45:01.275;13501.275;33.33
;Cirzon;Michał;;;65;03:12:06.982;11526.982;20.30
;Ciszewski;Michał;;;125;08:16:16.540;29776.54;15.11
;Citko;Katarzyna;;;65;04:16:19.220;15379.22;15.22
;Cupryś;Aleksandra;;;65;06:00:17.418;21617.418;10.82
;Cybulski;Zbigniew;;;65;03:02:26.216;10946.216;21.38
;Cybulski;Marek;;;65;02:50:28.697;10228.697;22.88
;Cyman;Tomasz;;;225;06:30:35.230;23435.23;34.56
;Cyra;Leszek;;;65;03:14:57.974;11697.974;20.00
;Cyra;Monika;;;65;04:14:42.795;15282.795;15.31
;Cyrzan;Tadeusz;;;65;04:47:10.829;17230.829;13.58
;Cyskowski;Krystian;;;65;02:56:10.178;10570.178;22.14
;Czajka;Rafał;;;65;04:04:59.036;14699.036;15.92
;Czajka;Renata;;;65;04:05:00.785;14700.785;15.92
;Czajkowska;Anna;;;65;05:01:34.088;18094.088;12.93
;Czajkowska;Mariola;;;65;04:46:46.083;17206.083;13.60
;Czajkowska;Grażyna;;;125;07:22:14.024;26534.024;16.96
;Czajkowski;Lech;;;65;03:18:05.979;11885.979;19.69
;Czajkowski;Grzegorz;;;65;04:46:47.829;17207.829;13.60
;Czapiewski;Marcin;;;125;05:43:23.929;20603.929;21.84
;Czapiewski;Łukasz;;;125;05:44:04.670;20644.67;21.80
;Czaplicki;Jacek;;;125;05:43:35.349;20615.349;21.83
;Czapnik;Sebastian;;;125;06:34:20.695;23660.695;19.02
;Czarnecki;Piotr;;;125;05:47:50.303;20870.303;21.56
;Czarnecki;Paweł;;;125;05:46:15.400;20775.4;21.66
;Czarniak;Sebastian;;;125;08:02:58.773;28978.773;15.53
;Cząstka;Tomasz;;;125;05:55:02.167;21302.167;21.12
;Czech;Mariusz;;;125;04:10:38.541;15038.541;29.92
;Czekaj;Andrzej;;;125;02:20:11.153;8411.153;53.50
;Czerwiński;Piotr;;;125;03:52:48.032;13968.032;32.22
;Czerwiński;Jarosław;;;125;07:03:26.617;25406.617;17.71
;Czesnowski;Grzegorz;;;65;04:41:02.066;16862.066;13.88
;Czesnowski;Kamil;;;65;04:41:01.326;16861.326;13.88
;Czoske;Paweł;;;125;06:46:46.719;24406.719;18.44
;Czyżak;Paulina;;;65;05:09:23.601;18563.601;12.61
;Ćwik;Damian;;;125;03:31:58.757;12718.757;35.38
;Daduń;Tomasz;;;125;07:15:29.006;26129.006;17.22
;Dalecki;Przemysław;;;125;05:55:00.665;21300.665;21.13
;Damaszke;Marta;;;65;02:38:43.930;9523.93;24.57
;Danielewicz;Marek;;;65;03:29:57.225;12597.225;18.58
;Daniszewski;Mariusz;;;225;06:26:43.473;23203.473;34.91
;Daroszewski;Jarosław;;;65;04:16:29.768;15389.768;15.20
;Dasiukiewicz;Leszek;;;225;08:09:03.827;29343.827;27.60
;Datczuk;Andrzej;;;125;06:01:11.914;21671.914;20.76
;Davidson;Malcolm;;;65;04:31:11.063;16271.063;14.38
;Dawczyk;Karol;;;65;05:18:56.105;19136.105;12.23
;Dawidowski;Tadeusz;;;65;02:19:14.418;8354.418;28.01
;Dawidowski;Andrzej;;;65;02:53:00.428;10380.428;22.54
;Dąbrowska;Agnieszka;;;65;06:31:12.683;23472.683;9.97
;Dąbrowska;Agnieszka;;;65;03:49:15.765;13755.765;17.01
;Dąbrowski;Wojciech;;;65;04:57:50.532;17870.532;13.09
;Dąbrowski;Jarosław;;;125;04:19:50.579;15590.579;28.86
;Deaki;Oktawiusz;;;125;05:37:05.614;20225.614;22.25
;Degutis;Rafał;;;65;03:09:45.223;11385.223;20.55
;Dembiński;Paweł;;;65;02:56:39.937;10599.937;22.08
;Dera;Anna;;;65;03:45:36.291;13536.291;17.29
;Derda;Rafał;;;125;05:51:00.169;21060.169;21.37
;Derewecki;Jarek;;;125;04:44:56.844;17096.844;26.32
;Dębiec;Ewa;;;125;05:41:16.536;20476.536;21.98
;Dietrich;Krzysztof;;;65;04:18:09.295;15489.295;15.11
;Długosz;Tomasz;;;65;03:02:01.212;10921.212;21.43
;Długozima;Dariusz;;;225;06:25:27.471;23127.471;35.02
;Dobecki;Sebastian;;;65;02:14:14.642;8054.642;29.05
;Dobkowski;Kamil;;;125;05:22:03.622;19323.622;23.29
;Dobrowolski;Grzegorz;;;65;05:09:02.857;18542.857;12.62
;Dobrowolski;Adam;;;65;05:09:02.351;18542.351;12.62
;Domachowski;Patryk;;;65;04:54:29.337;17669.337;13.24
;Domagała;Marek;;;125;04:52:54.102;17574.102;25.61
;Domalewska;Eliza;;;65;03:22:03.733;12123.733;19.30
;Domarus;Katarzyna;;;65;03:21:04.988;12064.988;19.39
;Domarus;Bronisław;;;125;05:06:51.879;18411.879;24.44
;Dombrzalski;Bartosz;;;125;04:07:21.065;14841.065;30.32
;Dominiak;Dawid;;;125;06:05:48.927;21948.927;20.50
;Domrazek;Paweł;;;225;06:21:56.714;22916.714;35.35
;Domżalski;Łukasz;;;125;05:28:25.640;19705.64;22.84
;Donarski;Adam;;;125;08:02:54.038;28974.038;15.53
;Draber;Sylwia;;;65;02:55:12.956;10512.956;22.26
;Draber;Maciej;;;65;02:55:13.323;10513.323;22.26
;Drejer;Łukasz;;;65;04:51:45.830;17505.83;13.37
;Drejer;Karol;;;125;06:28:52.465;23332.465;19.29
;Drejer;Magdalena;;;65;04:52:29.079;17549.079;13.33
;Drewek;Jarosław;;;65;02:37:45.945;9465.945;24.72
;Drewing;Marcin;;;125;03:27:56.005;12476.005;36.07
;Drewniak;Renata;;;65;04:39:26.076;16766.076;13.96
;Drezner;Rafał;;;125;05:39:51.392;20391.392;22.07
;Drywa;Anna;;;65;04:29:22.052;16162.052;14.48
;Drzewicki;Kazimierz;;;225;08:41:36.420;31296.42;25.88
;Drzewiecki;Mateusz;;;125;04:26:28.580;15988.58;28.15
;Dubicka;Anna;;;65;04:43:40.299;17020.299;13.75
;Dudarowski;Mariusz;;;65;02:45:13.322;9913.322;23.60
;Dudarowski;Krzysztof;;;65;02:27:37.930;8857.93;26.42
;Dudek;Monika;;;65;04:36:57.297;16617.297;14.08
;Dukaczewski;Jacek;;;125;05:25:54.866;19554.866;23.01
;Durtan;Barbara;;;65;05:32:18.626;19938.626;11.74
;Duszyński;Bartosz;;;65;04:06:32.295;14792.295;15.82
;Dutkowski;Aleksander;;;125;05:29:05.641;19745.641;22.79
;Dworak;Wojciech;;;65;04:02:54.532;14574.532;16.06
;Dworak;Julia;;;65;04:02:53.534;14573.534;16.06
;Dworak;Monika;;;65;02:20:04.167;8404.167;27.84
;Dworakowska;Beata;;;65;03:44:08.768;13448.768;17.40
;Dworakowski;Sławomir;;;125;06:04:44.921;21884.921;20.56
;Dymkowska;Ewa;;;65;05:01:36.345;18096.345;12.93
;Dymkowski;Robert;;;65;04:59:14.845;17954.845;13.03
;Dynus;Marcin;;;65;02:17:53.425;8273.425;28.28
;Dyrlico;Jakub;;;125;07:09:04.234;25744.234;17.48
;Dyszkant;Leszek;;;65;02:52:13.955;10333.955;22.64
;Dziuba;Krzysztof;;;65;03:15:57.730;11757.73;19.90
;Ebertowski;Michał;;;125;06:44:58.933;24298.933;18.52
;Ejsmont;Piotr;;;65;02:14:34.411;8074.411;28.98
;Empel;Małgorzata;;;65;04:57:44.323;17864.323;13.10
;Engelberg;Łukasz;;;125;06:58:44.976;25124.976;17.91
;Erdmanis;Kamil;;;125;06:44:24.711;24264.711;18.55
;Etmański;Eugeniusz;;;125;03:49:02.039;13742.039;32.75
;Fabijańczyk;Radosław;;;65;04:10:11.277;15011.277;15.59
;Fabijańczyk;Katarzyna;;;65;04:10:12.541;15012.541;15.59
;Falkowski;Jan;;;125;05:51:35.178;21095.178;21.33
;Falkowski;Wojciech;;;125;04:47:15.842;17235.842;26.11
;Faron;Monika;;;65;03:29:11.965;12551.965;18.64
;Fąfara;Dariusz;;;65;02:26:00.000;8760;26.71
;Fedko;Artem;;;125;06:18:41.433;22721.433;19.81
;Felkner;Ryszard;;;125;03:56:42.058;14202.058;31.69
;Fennig;Jarosław;;;125;05:13:24.126;18804.126;23.93
;Fennig;Robert;;;125;05:13:22.888;18802.888;23.93
;Fethke;Ewa;;;65;04:56:28.336;17788.336;13.15
;Fethke;Paweł;;;65;04:56:28.591;17788.591;13.15
;Fic;Paweł;;;65;04:31:00.000;16260;14.39
;Fic;Tadeusz;;;65;04:30:44.793;16244.793;14.40
;Figiel;Łukasz;;;65;03:17:59.737;11879.737;19.70
;Filipczyk;Jakub;;;125;03:44:36.269;13476.269;33.39
;Filipowicz;Bartosz;;;65;04:26:05.061;15965.061;14.66
;Filipowicz;Adam;;;65;04:23:27.559;15807.559;14.80
;Filipska;Aleksandra;;;125;07:03:29.652;25409.652;17.71
;Firańczuk;Łukasz;;;125;05:29:07.139;19747.139;22.79
;Firańczuk;Agnieszka;;;65;03:40:12.512;13212.512;17.71
;Firley-Manturewicz;Dominika;;;65;06:41:15.438;24075.438;9.72
;Fokczyński;Marcin;;;125;04:46:07.737;17167.737;26.21
;Formela;Krzysztof;;;65;03:12:07.476;11527.476;20.30
;Formella;Dorota;;;125;03:59:54.297;14394.297;31.26
;Formella;Bartosz;;;65;05:47:23.617;20843.617;11.23
;Fostacz;Jarosław;;;65;03:39:10.753;13150.753;17.79
;Frąckiewicz;Rafał;;;125;04:32:49.236;16369.236;27.49
;Frątczak;Artur;;;65;02:27:24.678;8844.678;26.46
;Freitag;Jacek;;;65;01:55:36.142;6936.142;33.74
